"tm"	"channel_name"	"ocean_region"	"ges_id_octal"	"channel_unit_id"	"channel_type"	"su_type"	"BFO"	"BTO"
2014-03-07 16:42:57	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,133,9960"	133	9960
2014-03-07 16:42:57	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,133,9960"	133	9960
2014-03-07 16:42:57	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,132,9960"	132	9960
2014-03-07 16:42:57	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,132,9960"	132	9960
2014-03-07 16:42:58	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,134,9960"	134	9960
2014-03-07 16:42:58	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,134,9960"	134	9960
2014-03-07 16:42:58	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,134,9960"	134	9960
2014-03-07 16:42:58	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,134,9960"	134	9960
2014-03-07 16:42:58	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,133,9960"	133	9960
2014-03-07 16:42:58	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,133,9960"	133	9960
2014-03-07 16:42:59	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x62,-,Acknowledge,User,Data"	NA	NA
2014-03-07 16:43:00	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x71,-,User,Data,(ISU),-,RLS"	NA	NA
2014-03-07 16:43:00	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:43:00	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:43:00	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:43:10	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x61,-,Request,for,Acknowledge,(RQA),User,Data"	NA	NA
2014-03-07 16:43:12	"IOR-R1200-0-36ED"	"IOR"	"305"	"4"	"R-Channel RX"	"0x62,-,Acknowledge,User,Data,(R-channel),126,14920"	126	14920
2014-03-07 16:55:23	"IOR-R1200-0-36ED"	"IOR"	"305"	"4"	"R-Channel RX"	"0x22,-,Access,Request,(R/T-Channel),156,15200"	156	15200
2014-03-07 16:55:24	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x51,-,T-Channel,Assignment"	NA	NA
2014-03-07 16:55:28	"IOR-T1200-0-3718"	"IOR"	"305"	"12"	"T-Channel RX"	"0x71,-,User,Data,(ISU),-,RLS,157,10220"	157	10220
2014-03-07 16:55:28	"IOR-T1200-0-3718"	"IOR"	"305"	"12"	"T-Channel RX"	"Subsequent,Signalling,Unit,157,10220"	157	10220
2014-03-07 16:55:28	"IOR-T1200-0-3718"	"IOR"	"305"	"12"	"T-Channel RX"	"Subsequent,Signalling,Unit,157,10220"	157	10220
2014-03-07 16:55:28	"IOR-T1200-0-3718"	"IOR"	"305"	"12"	"T-Channel RX"	"Subsequent,Signalling,Unit,157,10220"	157	10220
2014-03-07 16:55:28	"IOR-T1200-0-3718"	"IOR"	"305"	"12"	"T-Channel RX"	"Subsequent,Signalling,Unit,159,10220"	159	10220
2014-03-07 16:55:29	"IOR-T1200-0-3718"	"IOR"	"305"	"12"	"T-Channel RX"	"Subsequent,Signalling,Unit,159,10220"	159	10220
